City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Date
92,Joensuu,62.6,29.76,14,85,100,4.7,FI,overcast clouds,0,0,1/5/2020 20:03
93,Muroto,33.37,134.14,36.45,68,18,4.88,JP,few clouds,0,0,1/5/2020 20:03
94,Poum,41.28,20.71,30.2,50,75,11.41,MK,broken clouds,0,0,1/5/2020 20:03
95,Norman Wells,65.28,-126.83,-23.8,74,40,2.24,CA,scattered clouds,0,0,1/5/2020 20:03
96,Loa Janan,-0.58,117.09,72.34,97,100,3.67,ID,overcast clouds,0,0,1/5/2020 20:03
97,Geraldton,49.72,-86.95,12.2,85,90,8.05,CA,snow,0,0,1/5/2020 19:59
98,Pacific Grove,36.62,-121.92,57.99,50,1,8.05,US,clear sky,0,0,1/5/2020 20:03
99,Pitimbu,-7.47,-34.81,84.2,66,40,11.41,BR,scattered clouds,0,0,1/5/2020 20:03
100,Buala,-8.15,159.59,82.31,81,69,8.99,SB,broken clouds,0,0,1/5/2020 20:03
101,Makakilo City,21.35,-158.09,77,83,90,4.7,US,light intensity drizzle,0,0,1/5/2020 20:00
102,Kavaratti,10.57,72.64,79.97,63,0,3.85,IN,clear sky,0,0,1/5/2020 20:03
103,Saldanha,41.42,-6.55,38.03,75,7,0.6,PT,clear sky,0,0,1/5/2020 19:59
104,Hilo,19.71,-155.08,77,69,75,4.7,US,moderate rain,0,0,1/5/2020 20:03
105,Pevek,69.7,170.27,-6.29,82,0,5.59,RU,clear sky,0,0,1/5/2020 20:03
106,Talnakh,69.49,88.39,23,92,75,29.08,RU,shower snow,0,0,1/5/2020 20:03
107,Te Anau,-45.41,167.72,43.75,83,52,16.42,NZ,light rain,1.44,0,1/5/2020 19:59
108,Bambous Virieux,-20.34,57.76,73.4,100,75,5.82,MU,moderate rain,0,0,1/5/2020 20:03
109,Maceio,-9.67,-35.74,84.2,62,100,12.75,BR,overcast clouds,0,0,1/5/2020 19:58
110,Wanning,48.64,13.53,34,89,90,2.24,AT,overcast clouds,0,0,1/5/2020 20:03
111,Taloqan,36.74,69.54,33.37,40,79,5.46,AF,broken clouds,0,0,1/5/2020 20:03
112,Mehamn,71.03,27.85,26.6,79,75,6.93,NO,broken clouds,0,0,1/5/2020 20:03
113,Billings,45.79,-108.5,43,25,40,16.11,US,scattered clouds,0,0,1/5/2020 20:01
114,Tsiroanomandidy,-18.77,46.05,70.77,84,42,1.23,MG,light rain,1.13,0,1/5/2020 20:03
115,Lompoc,34.64,-120.46,66.99,62,1,6.93,US,clear sky,0,0,1/5/2020 20:03
116,Batagay,67.65,134.64,-21.06,85,59,1.97,RU,broken clouds,0,0,1/5/2020 20:03
117,Dryden,49.79,-92.84,23,85,90,18.34,CA,light snow,0,0,1/5/2020 20:03
118,Kahramanmaras,37.58,36.93,42.8,70,75,5.82,TR,broken clouds,0,0,1/5/2020 20:03
119,Slave Lake,55.28,-114.77,10.4,92,90,6.93,CA,overcast clouds,0,0,1/5/2020 19:59
