City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Hwange,ZW,2020-01-03 05:20:18,-18.35,26.5,77.4,73,76,4.07
262,Longyearbyen,NO,2020-01-03 05:20:19,78.22,15.63,8.6,65,75,21.92
263,Geraldton,CA,2020-01-03 05:20:19,49.72,-86.95,23.0,85,90,8.05
264,Mount Abu,IN,2020-01-03 05:20:19,24.59,72.71,69.55,44,45,7.02
265,Tarnogskiy Gorodok,RU,2020-01-03 05:20:19,60.5,43.58,35.6,93,100,11.14
266,Muros,ES,2020-01-03 05:20:19,42.77,-9.06,57.99,100,90,5.82
267,Araouane,ML,2020-01-03 05:17:54,18.9,-3.53,49.82,28,19,12.55
268,Ugoofaaru,MV,2020-01-03 05:17:51,5.67,73.0,82.18,79,62,13.65
269,Zhangjiakou,CN,2020-01-03 05:20:20,40.77,114.88,27.39,34,0,3.0
270,Etchojoa,MX,2020-01-03 05:20:20,26.91,-109.62,57.99,92,0,1.99
271,Mahebourg,MU,2020-01-03 05:15:46,-20.41,57.7,78.8,94,75,9.17
272,Saint George,GR,2020-01-03 05:20:21,39.45,22.34,34.0,85,20,3.36
273,Jacqueville,CI,2020-01-03 05:20:21,5.21,-4.42,73.4,69,26,9.17
274,Kurchum,KZ,2020-01-03 05:20:21,48.57,83.65,11.39,87,0,3.4
275,Pisco,PE,2020-01-03 05:17:42,-13.71,-76.2,69.8,83,90,12.75
276,Toul,FR,2020-01-03 05:20:21,48.68,5.89,43.0,100,75,3.36
277,Halifax,CA,2020-01-03 05:17:27,44.65,-63.58,32.0,86,90,4.7
278,Merauke,ID,2020-01-03 05:20:21,-8.49,140.4,88.34,58,100,10.42
279,Petropavlovsk-Kamchatskiy,RU,2020-01-03 05:20:22,53.05,158.65,23.0,73,40,6.71
280,Murray Bridge,AU,2020-01-03 05:20:22,-35.12,139.28,107.01,11,24,4.0
281,Derna,RO,2020-01-03 05:20:22,47.2,22.31,27.0,100,90,3.36
282,Togur,RU,2020-01-03 05:20:22,58.36,82.83,28.65,95,100,11.12
283,Paamiut,GL,2020-01-03 05:20:22,61.99,-49.67,29.71,43,100,5.82
284,San Ignacio,PE,2020-01-03 05:20:22,-5.15,-79.0,61.56,98,65,0.45
285,Shitanjing,CN,2020-01-03 05:20:22,39.23,106.34,31.32,49,100,3.02
286,Ramos Arizpe,MX,2020-01-03 05:20:23,25.54,-100.95,62.01,58,5,7.02
287,Tocopilla,CL,2020-01-03 05:20:23,-22.09,-70.2,51.22,65,35,1.88
